School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
610219.0,Average,58,Weak,33,Not on Probation,Level 1,No,,
610220.0,Very Strong,85,Average,56,Not on Probation,Level 1,No,,
610221.0,Average,48,Very Strong,81,Not on Probation,Level 1,No,,
610223.0,Weak,30,Weak,34,Probation,Level 3,No,,
610224.0,Weak,23,Average,55,Probation,Level 3,No,,
610225.0,Average,45,Average,41,Probation,Level 3,No,,
610226.0,NDA,,NDA,,Probation,Level 3,No,,
610227.0,Average,44,Average,49,Not on Probation,Level 2,Yes,,
610228.0,Strong,65,Average,45,Probation,Level 3,No,,
610229.0,Average,59,Average,58,Not on Probation,Level 1,No,,
610230.0,Very Strong,99,Strong,77,Not on Probation,Level 1,No,,
610231.0,Strong,67,Strong,65,Not on Probation,Level 1,No,,
610232.0,NDA,,NDA,,Probation,Level 2,No,,
610233.0,Weak,29,Average,43,Probation,Level 3,No,,
610234.0,Average,42,Strong,66,Probation,Level 3,No,,
610235.0,Weak,31,Average,44,Not on Probation,Level 2,No,,
610237.0,Average,40,Average,58,Probation,Level 3,No,,
610238.0,Average,54,Strong,67,Probation,Level 2,No,,
610239.0,Weak,29,Weak,37,Not on Probation,Level 2,No,,
610240.0,Weak,37,Weak,34,Probation,Level 3,No,,
610241.0,Weak,26,Strong,65,Probation,Level 3,No,,
610242.0,Average,50,Average,55,Not on Probation,Level 1,No,,
610243.0,Average,52,Average,44,Not on Probation,Level 1,No,,
610244.0,NDA,,NDA,,Probation,Level 3,No,,
610245.0,Average,44,Weak,39,Probation,Level 3,No,,
610246.0,Average,47,Weak,34,Not on Probation,Level 1,No,,
610248.0,Strong,66,Average,40,Not on Probation,Level 1,No,,
610249.0,Very Strong,99,Very Strong,99,Not on Probation,Level 1,No,,
610250.0,Strong,64,Average,54,Not on Probation,Level 2,No,,
610251.0,Strong,69,Strong,78,Not on Probation,Level 1,No,,
610252.0,Average,48,Average,51,Not on Probation,Level 1,No,,
610253.0,Strong,67,Average,58,Probation,Level 3,No,,
610254.0,Average,46,Strong,66,Probation,Level 3,No,,
610256.0,NDA,,NDA,,Probation,Level 3,No,,
610257.0,Average,53,Strong,66,Probation,Level 1,No,,
610258.0,Weak,20,Weak,37,Probation,Level 3,No,,
610263.0,Average,42,Average,53,Probation,Level 2,No,,
610264.0,Weak,29,Strong,62,Probation,Level 2,No,,
610265.0,Weak,36,Weak,35,Probation,Level 3,No,,
610266.0,Very Weak,19,Weak,25,Probation,Level 3,No,,
610268.0,NDA,,NDA,,Probation,Level 3,No,,
610269.0,Average,56,Strong,67,Not on Probation,Level 2,No,,
610271.0,Weak,35,Average,42,Probation,Level 2,No,,
610273.0,Weak,31,Strong,63,Probation,Level 3,No,,
610274.0,Strong,67,Strong,61,Probation,Level 2,No,,
610276.0,Average,44,Average,46,Probation,Level 3,No,,
610277.0,Weak,32,Strong,64,Probation,Level 3,No,,
610279.0,Weak,33,Average,42,Probation,Level 3,No,,
610280.0,Weak,31,Weak,24,Not Applicable,Level 3,No,,
610281.0,Average,54,Strong,74,Not on Probation,Level 1,No,,
610282.0,Weak,31,Average,56,Probation,Level 3,No,,
610283.0,Weak,30,Weak,38,Probation,Level 3,No,,
610284.0,NDA,,NDA,,Not on Probation,Level 2,No,,
610285.0,Weak,35,Average,43,Not on Probation,Level 2,No,,
610287.0,Average,48,Average,52,Not on Probation,Level 2,No,,
610290.0,Weak,27,Average,55,Not on Probation,Level 2,No,,
610291.0,Average,59,Average,46,Not on Probation,Level 2,No,,
610293.0,Strong,61,Strong,65,Probation,Level 3,No,,
610295.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610297.0,NDA,,NDA,,Probation,Level 3,No,,
610298.0,Strong,79,Average,51,Not on Probation,Level 1,No,,
610299.0,Very Weak,18,Weak,30,Probation,Level 3,No,,
610300.0,Weak,30,Average,48,Probation,Level 2,No,,
610304.0,Average,53,Average,59,Not on Probation,Level 1,No,,
610305.0,NDA,,NDA,,Probation,Level 3,No,,
610308.0,NDA,,NDA,,Not Applicable,Not Enough Data,No,,
610312.0,NDA,,NDA,,Not on Probation,Level 2,No,,
610313.0,Average,57,Weak,37,Probation,Level 3,Yes,,
610315.0,Weak,27,Average,44,Probation,Level 2,No,,
610316.0,Very Strong,81,Strong,60,Not on Probation,Level 2,No,,
610317.0,Average,55,Average,49,Not on Probation,Level 1,No,,
610319.0,Strong,60,Average,47,Not on Probation,Level 2,No,,
610320.0,Average,57,Very Weak,12,Probation,Level 2,Yes,,
610321.0,Weak,39,Very Weak,11,Probation,Level 3,No,,
610323.0,Very Weak,17,Weak,37,Probation,Level 3,No,,
610325.0,Average,56,Weak,32,Not on Probation,Level 2,No,,
610329.0,Average,55,Weak,34,Not on Probation,Level 1,No,,
610334.0,Average,52,Average,51,Probation,Level 3,No,,
610336.0,Average,49,Average,42,Probation,Level 3,No,,
610339.0,Weak,23,Weak,35,Probation,Level 3,No,,
610340.0,Average,58,Average,57,Not on Probation,Level 2,No,,
610342.0,Strong,67,Weak,30,Probation,Level 3,No,,
610345.0,Weak,26,Very Weak,2,Probation,Level 3,No,,
610347.0,Weak,36,Average,50,Probation,Level 2,No,,
610348.0,Average,49,Very Strong,80,Probation,Level 3,No,,
610350.0,Strong,68,Strong,63,Not on Probation,Level 1,No,,
610352.0,Strong,61,Average,57,Not on Probation,Level 1,No,,
610353.0,Average,58,Average,59,Not on Probation,Level 2,Yes,,
610354.0,Strong,67,Average,53,Not on Probation,Level 2,No,,
610355.0,Very Strong,99,Very Strong,95,Not on Probation,Level 2,No,,
610357.0,Strong,70,Very Strong,92,Not on Probation,Level 2,No,,
610362.0,Weak,27,Weak,35,Not on Probation,Level 1,No,,
610363.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610364.0,Average,47,Weak,33,Probation,Level 3,No,,
610365.0,Average,53,Average,53,Probation,Level 3,No,,
610366.0,Weak,32,Weak,34,Probation,Level 2,No,,
610367.0,Weak,35,Average,47,Probation,Level 2,No,,
610368.0,Weak,28,Very Weak,16,Probation,Level 3,No,,
610369.0,Weak,38,Average,54,Probation,Level 3,No,,
610380.0,Average,50,Average,45,Not on Probation,Level 2,No,,
610381.0,Average,41,Average,42,Probation,Level 3,No,,
610383.0,Average,43,Average,46,Probation,Level 3,No,,
610384.0,Average,58,Strong,66,Not on Probation,Level 2,No,,
610385.0,Average,48,Average,47,Probation,Level 2,No,,
610389.0,NDA,,NDA,,Probation,Level 3,No,,
610390.0,Strong,64,Strong,64,Not on Probation,Level 2,No,,
610391.0,Strong,66,Strong,75,Not on Probation,Level 1,No,,
610392.0,Average,51,Average,49,Not on Probation,Level 2,No,,
610394.0,Average,50,Strong,61,Not on Probation,Level 2,No,,
610395.0,Average,46,Weak,34,Not on Probation,Level 2,No,,
610396.0,Average,48,Weak,39,Not on Probation,Level 2,No,,
610402.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610405.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610499.0,Strong,60,Average,51,Not on Probation,Level 2,No,,
610501.0,Weak,38,Average,45,Probation,Level 2,No,,
610502.0,Average,41,Weak,38,Not on Probation,Level 2,No,,
610503.0,Strong,60,Very Strong,84,Not on Probation,Level 1,No,,
610504.0,NDA,,NDA,,NDA,NDA,No,,
610506.0,Average,45,Average,55,Probation,Level 2,No,,
610513.0,Average,49,Strong,60,Not on Probation,Not Enough Data,Yes,,
610515.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610518.0,Average,42,Average,52,Probation,Level 2,No,,
610520.0,Strong,66,Weak,36,Not on Probation,Level 1,No,,
610521.0,Weak,35,Average,51,Probation,Level 3,No,,
610523.0,Very Strong,95,Average,52,Not on Probation,Level 1,No,,
610524.0,Strong,70,Strong,67,Not on Probation,Not Enough Data,No,,
610529.0,Average,56,Weak,39,Not on Probation,Not Enough Data,No,,
610530.0,NDA,,NDA,,Not on Probation,Not Enough Data,No,,
610532.0,Weak,34,Weak,27,Not on Probation,Not Enough Data,No,,
610533.0,NDA,,NDA,,Not on Probation,Not Enough Data,No,,
610534.0,NDA,,NDA,,Not on Probation,Not Enough Data,No,,
610535.0,Average,50,Average,59,Not on Probation,Not Enough Data,No,,
610539.0,Average,54,Weak,37,Not on Probation,Not Enough Data,No,,
610541.0,Average,53,Average,53,Not on Probation,Not Enough Data,No,,
610542.0,Strong,67,Average,41,Not on Probation,Not Enough Data,No,,
610543.0,Strong,67,Average,53,Not on Probation,Not Enough Data,No,,
610544.0,Average,54,Strong,61,Not on Probation,Not Enough Data,No,,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,Yes,
,,,,,,,,NDA,
,,,,,,,,Yes,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,NDA,
,,,,,,,,Yes,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,Yes,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,No,
,,,,,,,,NDA,
,,,,,,,,No,
,,,,,,,,,98.2
,,,,,,,,,99.1
,,,,,,,,,98.0
,,,,,,,,,100.0
,,,,,,,,,99.4
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.2
,,,,,,,,,99.6
,,,,,,,,,99.1
,,,,,,,,,99.6
,,,,,,,,,100.0
,,,,,,,,,97.6
,,,,,,,,,99.6
,,,,,,,,,99.1
,,,,,,,,,95.7
,,,,,,,,,100.0
,,,,,,,,,88.0
,,,,,,,,,100.0
,,,,,,,,,99.7
,,,,,,,,,99.5
,,,,,,,,,99.3
,,,,,,,,,100.0
,,,,,,,,,99.4
,,,,,,,,,98.4
,,,,,,,,,100.0
,,,,,,,,,97.9
,,,,,,,,,99.5
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.9
,,,,,,,,,100.0
,,,,,,,,,99.6
,,,,,,,,,94.4
,,,,,,,,,99.7
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.2
,,,,,,,,,100.0
,,,,,,,,,99.5
,,,,,,,,,96.7
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.4
,,,,,,,,,98.4
,,,,,,,,,100.0
,,,,,,,,,96.8
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.6
,,,,,,,,,100.0
,,,,,,,,,98.5
,,,,,,,,,98.6
,,,,,,,,,99.5
,,,,,,,,,100.0
,,,,,,,,,99.1
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.1
,,,,,,,,,93.2
,,,,,,,,,100.0
,,,,,,,,,98.0
,,,,,,,,,99.4
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.6
,,,,,,,,,97.7
,,,,,,,,,100.0
,,,,,,,,,97.7
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.1
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.4
,,,,,,,,,100.0
,,,,,,,,,98.6
,,,,,,,,,99.3
,,,,,,,,,100.0
,,,,,,,,,88.4
,,,,,,,,,97.6
,,,,,,,,,97.7
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,94.7
,,,,,,,,,100.0
,,,,,,,,,98.4
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.3
,,,,,,,,,98.7
,,,,,,,,,100.0
,,,,,,,,,96.7
,,,,,,,,,97.9
,,,,,,,,,96.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,94.0
,,,,,,,,,100.0
,,,,,,,,,93.9
,,,,,,,,,98.4
,,,,,,,,,99.1
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.9
,,,,,,,,,98.6
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,94.8
,,,,,,,,,98.7
,,,,,,,,,92.6
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,93.8
,,,,,,,,,100.0
,,,,,,,,,94.0
,,,,,,,,,99.5
,,,,,,,,,100.0
,,,,,,,,,94.7
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,97.7
,,,,,,,,,96.2
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,97.5
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,97.0
,,,,,,,,,97.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,96.1
,,,,,,,,,98.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,93.8
,,,,,,,,,99.5
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,91.4
,,,,,,,,,100.0
,,,,,,,,,96.4
,,,,,,,,,98.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,97.1
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,97.3
,,,,,,,,,100.0
,,,,,,,,,98.8
,,,,,,,,,95.6
,,,,,,,,,99.1
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,92.1
,,,,,,,,,99.4
,,,,,,,,,99.0
,,,,,,,,,100.0
,,,,,,,,,98.6
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,96.9
,,,,,,,,,96.5
,,,,,,,,,100.0
,,,,,,,,,97.4
,,,,,,,,,100.0
,,,,,,,,,92.0
,,,,,,,,,100.0
,,,,,,,,,98.9
,,,,,,,,,98.5
,,,,,,,,,97.8
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,99.3
,,,,,,,,,100.0
,,,,,,,,,95.2
,,,,,,,,,99.1
,,,,,,,,,97.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,96.0
,,,,,,,,,100.0
,,,,,,,,,99.3
,,,,,,,,,98.6
,,,,,,,,,100.0
,,,,,,,,,97.9
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,98.5
,,,,,,,,,100.0
,,,,,,,,,100.0
,,,,,,,,,96.6
,,,,,,,,,100.0
