School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
609800.0,Average,46,Average,55,Probation,Level 3,No,,
609803.0,Very Strong,99,Strong,76,Not on Probation,Level 1,No,,
609804.0,Average,52,Average,47,Not on Probation,Level 1,No,,
609805.0,Weak,35,Average,44,Probation,Level 3,No,,
609806.0,Weak,31,Average,41,Probation,Level 3,No,,
609807.0,Average,42,Weak,34,Probation,Level 2,No,,
609808.0,Weak,28,Average,58,Not on Probation,Level 2,No,,
609809.0,Average,57,Average,43,Not on Probation,Level 2,No,,
609810.0,Strong,67,Average,49,Not on Probation,Level 2,No,,
609811.0,Very Weak,18,Weak,28,Probation,Level 3,No,,
609812.0,Weak,36,Average,58,Probation,Level 2,No,,
609813.0,Weak,20,Strong,79,Not on Probation,Level 2,No,,
609815.0,Weak,33,Average,55,Probation,Level 3,No,,
609817.0,Average,59,Weak,33,Not on Probation,Level 2,No,,
609818.0,Weak,37,Average,42,Not on Probation,Level 2,No,,
609819.0,Very Weak,1,Very Weak,13,Probation,Level 3,No,,
609820.0,Very Strong,99,Strong,78,Not on Probation,Level 1,No,,
609821.0,Strong,61,Very Strong,85,Not on Probation,Level 1,No,,
609826.0,Weak,36,Weak,34,Not on Probation,Level 2,No,,
609827.0,Average,51,Average,58,Probation,Level 2,No,,
609828.0,Strong,71,Strong,68,Not on Probation,Level 1,No,,
609829.0,Average,50,Weak,39,Not on Probation,Level 2,Yes,,
609830.0,Weak,30,Weak,30,Probation,Level 3,No,,
609832.0,Strong,63,Weak,35,Probation,Level 3,No,,
609833.0,Weak,25,Average,40,Probation,Level 3,No,,
609834.0,Average,45,Average,52,Not on Probation,Level 1,No,,
609835.0,Average,42,Average,49,Probation,Level 3,No,,
609836.0,Very Strong,87,Strong,70,Not on Probation,Level 1,No,,
609837.0,Average,48,Weak,37,Probation,Level 3,No,,
609839.0,Weak,35,Very Weak,12,Not on Probation,Level 2,No,,
609842.0,Weak,38,Average,45,Not on Probation,Level 2,No,,
609844.0,Very Weak,13,Weak,33,Probation,Level 3,No,,
609845.0,Weak,25,Weak,33,Probation,Level 3,No,,
609848.0,Weak,39,Weak,36,Probation,Level 3,No,,
609849.0,Strong,76,Average,57,Not on Probation,Level 2,No,,
609850.0,Strong,65,Average,48,Not on Probation,Level 1,No,,
609851.0,Weak,34,Weak,39,Probation,Level 3,No,,
609852.0,Strong,70,Average,53,Not on Probation,Level 1,No,,
609853.0,Average,55,Average,59,Not on Probation,Level 2,No,,
609854.0,Very Strong,86,Very Strong,99,Not on Probation,Level 1,No,,
609855.0,NDA,,NDA,,Probation,Level 3,No,,
609856.0,Weak,38,Weak,30,Not on Probation,Level 2,No,,
609857.0,Strong,64,Average,58,Not on Probation,Level 1,No,,
609859.0,Average,47,Average,47,Not on Probation,Level 1,No,,
609861.0,Average,45,Weak,39,Not on Probation,Level 2,No,,
609862.0,Weak,22,Average,40,Probation,Level 2,No,,
609863.0,Strong,66,Average,57,Not on Probation,Level 1,No,,
609864.0,NDA,,NDA,,Probation,Level 2,No,,
609865.0,Strong,61,Average,57,Not on Probation,Level 2,No,,
609866.0,Very Strong,87,Strong,65,Not on Probation,Level 1,No,,
609867.0,NDA,,NDA,,Not on Probation,Level 2,No,,
609869.0,Weak,31,Average,54,Probation,Level 2,No,,
609870.0,Weak,39,Weak,31,Not on Probation,Level 2,No,,
609871.0,NDA,,NDA,,NDA,NDA,No,,
609872.0,Average,45,Average,42,Not on Probation,Level 1,Yes,,
609873.0,Weak,27,Average,51,Probation,Level 2,No,,
609874.0,Average,44,Very Weak,12,Not on Probation,Level 1,No,,
609875.0,Average,58,Average,44,Not on Probation,Level 2,No,,
609876.0,Average,43,Average,41,Not on Probation,Level 1,No,,
609879.0,Average,44,Weak,27,Not on Probation,Level 2,No,,
609880.0,Very Strong,99,Very Strong,99,Not on Probation,Level 1,No,,
609881.0,Weak,38,Strong,66,Probation,Level 2,No,,
609883.0,Average,55,Average,49,Probation,Level 2,No,,
609884.0,Strong,67,Strong,60,Not on Probation,Level 1,No,,
609885.0,Average,41,Average,42,Probation,Level 3,No,,
609887.0,Average,47,Average,47,Not on Probation,Level 2,No,,
609888.0,Average,57,Strong,68,Not on Probation,Level 2,No,,
609891.0,Weak,30,Weak,25,Probation,Level 3,No,,
609893.0,Strong,74,Strong,69,Not on Probation,Level 1,No,,
609894.0,Average,59,Average,57,Probation,Level 3,No,,
609895.0,Average,56,Average,48,Not on Probation,Level 1,No,,
609896.0,Strong,72,Average,59,Not on Probation,Level 1,No,,
609897.0,Weak,24,Strong,62,Probation,Level 2,No,,
609898.0,Average,42,Weak,33,Probation,Level 3,No,,
609899.0,Strong,78,Strong,66,Not on Probation,Level 1,No,,
609900.0,Weak,23,Average,43,Probation,Level 3,No,,
609901.0,Very Strong,99,Average,51,Not on Probation,Level 1,No,,
609902.0,NDA,,NDA,,Probation,Level 3,No,,
609903.0,Average,48,Weak,38,Not on Probation,Level 2,No,,
609904.0,Weak,30,Weak,37,Probation,Level 2,No,,
609906.0,Weak,37,Strong,64,Not on Probation,Level 2,No,,
609907.0,Weak,33,Average,49,Probation,Level 2,No,,
609908.0,Weak,36,Average,49,Probation,Level 2,No,,
609909.0,NDA,,NDA,,Not on Probation,Level 2,No,,
609910.0,Average,54,Average,48,Not on Probation,Level 2,No,,
609912.0,Average,55,Average,40,Not on Probation,Level 2,No,,
609913.0,Average,44,Average,52,Probation,Level 3,No,,
