School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
610396,13.4,9.7,-0.9,-0.2,Red,Yellow
610402,,,,,NDA,NDA
610405,40.7,29.2,0.7,-0.2,Yellow,Yellow
610499,,,,,NDA,NDA
610501,,,,,NDA,NDA
610502,,,,,NDA,NDA
610503,37.6,25.4,1.6,1.9,Green,Green
610504,,,,,NDA,NDA
610506,,,,,NDA,NDA
610513,,,,,NDA,NDA
610515,57.8,52.0,0.6,2.1,Yellow,Green
610518,,,,,NDA,NDA
610520,33.8,38.0,1.1,2.0,Green,Green
610521,5.9,3.2,0.0,-0.9,Yellow,Red
610523,27.7,32.6,-0.6,-0.4,Yellow,Yellow
610524,,,,,NDA,NDA
610529,42.6,38.9,-0.6,-0.6,Red,Yellow
610530,20.8,0.0,,,NDA,NDA
610532,11.6,9.2,-1.8,-0.8,Red,Red
610533,14.6,8.6,-0.7,-0.7,Red,Red
610534,100.0,100.0,,,NDA,NDA
610535,,,,,NDA,NDA
610539,11.2,12.0,-1.8,-0.3,Red,Yellow
610541,8.9,7.5,-1.0,-0.1,Red,Yellow
610542,16.9,13.0,-2.2,-1.0,Red,Red
610543,,,,,NDA,NDA
610544,13.0,11.9,-1.3,0.2,Red,Yellow
