School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
610133,14.2,6.9,-3.5,-5.0,Red,Red
610134,4.5,6.8,0.2,-0.6,Yellow,Yellow
610135,22.9,21.1,-0.2,0.8,Yellow,Green
610136,16.0,8.9,0.4,0.5,Yellow,Yellow
610137,31.4,24.5,-0.8,-0.1,Red,Yellow
610138,24.2,19.4,0.5,1.2,Green,Green
610139,14.8,17.8,0.7,0.7,Yellow,Yellow
610141,18.9,13.7,-0.4,-0.3,Yellow,Yellow
610142,31.8,35.2,-0.8,1.5,Red,Green
610143,5.8,10.1,-0.7,0.0,Red,Yellow
610144,15.5,9.8,0.2,0.5,Yellow,Yellow
610145,24.0,14.7,-0.3,0.5,Yellow,Yellow
610146,3.5,3.4,-2.4,-0.4,Red,Yellow
610147,34.3,28.3,0.7,0.7,Green,Yellow
610148,19.8,8.4,2.0,0.0,Green,Yellow
610150,2.5,2.0,-0.1,-1.1,Yellow,Red
610152,8.7,5.5,0.2,1.0,Yellow,Green
610153,10.6,5.6,-0.5,-1.6,Yellow,Red
610154,23.1,17.1,2.8,0.2,Green,Yellow
610155,49.1,34.5,2.2,0.3,Green,Yellow
610156,1.7,7.8,-0.8,0.1,Yellow,Yellow
610157,18.7,12.7,-0.4,0.4,Red,Yellow
610158,19.6,17.3,-0.5,0.0,Yellow,Yellow
610159,14.8,11.9,-0.6,0.2,Red,Yellow
610160,3.6,3.6,0.1,-1.4,Yellow,Red
610161,7.5,4.2,-1.1,-2.5,Red,Red
610163,,,,,NDA,NDA
610165,10.6,10.2,-0.2,-1.1,Yellow,Red
610167,12.2,7.9,-1.1,-0.5,Red,Yellow
610169,6.1,5.2,0.2,-0.4,Yellow,Yellow
610170,17.1,13.8,0.8,1.5,Green,Green
610171,7.6,5.4,-1.1,-0.7,Red,Red
610172,8.1,1.7,0.7,-1.3,Green,Red
610173,25.7,12.9,3.6,3.2,Green,Green
610174,18.3,12.7,1.1,1.5,Green,Green
610175,10.8,19.6,0.0,1.6,Yellow,Green
610176,12.9,8.3,0.6,-0.2,Green,Yellow
610177,77.2,73.0,1.0,0.6,Green,Yellow
610178,17.1,6.7,-0.4,-0.7,Yellow,Yellow
610179,36.5,27.5,0.6,0.1,Green,Yellow
610180,6.3,3.2,1.1,-0.9,Green,Red
610182,52.4,42.8,0.6,-0.2,Yellow,Yellow
610183,10.7,11.0,0.7,1.7,Green,Green
610184,17.9,7.3,1.7,1.1,Green,Green
610185,18.3,15.5,-0.9,-1.0,Red,Red
610187,11.9,9.7,0.5,1.1,Yellow,Yellow
610188,24.7,17.2,2.8,1.8,Green,Green
610189,18.3,12.4,-0.5,-0.1,Yellow,Yellow
610191,45.7,44.7,0.3,1.7,Yellow,Green
610192,3.1,2.5,-0.2,-0.8,Yellow,Red
610193,2.9,5.8,-0.9,0.2,Red,Yellow
610194,13.1,9.7,-1.0,0.1,Red,Yellow
610195,37.2,35.7,0.0,-0.4,Yellow,Yellow
610196,25.4,16.2,-0.8,1.1,Red,Green
610197,25.6,20.8,0.2,0.8,Yellow,Yellow
610198,12.4,9.9,-0.5,-0.6,Yellow,Yellow
610199,14.6,18.4,0.2,0.4,Yellow,Yellow
610200,8.7,3.6,-0.4,-1.2,Yellow,Red
610201,48.8,38.7,0.8,-0.5,Green,Yellow
610202,10.0,3.5,-0.7,-2.6,Red,Red
610203,17.5,13.0,0.7,0.3,Green,Yellow
610205,14.2,13.5,-1.8,-1.5,Red,Red
610206,32.3,19.8,0.2,-0.4,Yellow,Yellow
610207,17.7,24.1,-0.3,1.0,Yellow,Green
610208,6.1,4.6,0.6,0.5,Yellow,Yellow
610209,19.9,14.2,0.3,-0.4,Yellow,Yellow
