School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
610380,Daniel Hale Williams Prep School of Medicine,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,42,38
610381,Bronzeville Scholastic Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,42,38
610383,Greater Lawndale High School For Social Justice,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610384,Infinity Math Science and Technology High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610385,Multicultural Academy of Scholarship,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610389,Orr Academy High School,HS,AUSL Schools,WEST SIDE COLLABORATIVE,Standard,34,23
610390,Hyman G Rickover Naval Academy High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,77
610391,Robert Lindblom Math & Science Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
610392,World Language Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610394,Uplift Community High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610395,Pershing West Middle School,MS,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,40,35
610396,Tarkington School of Excellence Elementary School,ES,AUSL Schools,SOUTHWEST SIDE COLLABORATIVE,Standard,44,66
610402,DeVry University Advantage Academy High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,5
610405,Suder Montessori Magnet Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,38,28
610499,Collins Academy High School,HS,AUSL Schools,WEST SIDE COLLABORATIVE,Standard,37,29
610501,Austin Polytechnical Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,36,25
610502,Marine Military Math and Science Academy ,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,28
610503,Frazier Prospective IB Magnet Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,29
610504,Velma F Thomas Early Childhood Center,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,59
610506,TEAM Englewood Community Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610513,Air Force Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,40,34
610515,Disney II Magnet School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,16
610518,VOISE Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,36,25
610520,LaSalle II Magnet Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
610521,Sir Miles Davis Magnet Elementary Academy,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
610523,Edison Park Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,10
610524,Alcott High School for the Humanities,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,5
610529,Ogden International High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,24
610530,South Shore Fine Arts Academy,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,43
610532,Irene C. Hernandez Middle School for the Advancement of Science,MS,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,63
610533,Dr Jorge Prieto Math and Science,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,19
610534,Skinner North,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,8
610535,Mason High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,36,29
610539,Marvin Camras Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,19
610541,Federico Garcia Lorca Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,21
610542,West Ridge Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
610543,Eric Solorio Academy High School,HS,AUSL Schools,SOUTHWEST SIDE COLLABORATIVE,Standard,44,63
610544,Mariano Azuela Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,65
