School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
610138,Pulaski International Academy Elmentary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,22
610139,George M Pullman Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,50
610141,Ravenswood Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
610142,William H Ray Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,41
610143,William C Reavis Math & Science Specialty Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,39
610144,Frank W Reilly Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,21
610145,Peter A Reinberg Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,15
610146,Paul Revere Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,46,69
610147,Philip Rogers Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
610150,Betsy Ross Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,40
610152,Martha Ruggles Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,46,69
610153,William H Ryder Math & Science Specialty Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,49,71
610154,Martin A Ryerson Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,34,23
610155,Sauganash Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,12
610156,Louis Armstrong Math & Science Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610157,Sidney Sawyer Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,63
610158,Harriet E Sayre Elementary Language Academy,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Standard,29,25
610159,Jonathan Y Scammon Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,29,16
610160,Songhai Elementary Learning Institute,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,53
610161,Arna Wendell Bontemps Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
610163,Frederick Stock Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,9
610165,Franz Peter Schubert Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,29,19
610167,William H Seward Communication Arts Academy Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,42,61
610169,Austin O Sexton Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,42
610170,Columbia Explorers Elementary Academy,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,58
610171,Arnold Mireles Elementary Academy,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,46
610172,William T Sherman Elementary School,ES,AUSL Schools,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,61
610173,Jesse Sherwood Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,68
610174,James Shields Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
610175,Beulah Shoesmith Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,39
610176,John D Shoop Math-Science Technical Academy Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,75
610177,Mark Skinner Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,38,28
610178,Theophilus Schmid Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,50
610179,Washington D Smyser Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,15
